Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
5930,SAMSUNG ELECTRONICS LTD,Equity,19.47,"2,172.87","377,689.00","820,668,775.51",-,Information Technology,6771720,KR7005930003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
660,SK HYNIX INC,Equity,5.25,70.92,"3,121,647.00","221,389,315.36",-,Information Technology,6450267,KR7000660001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
68270,CELLTRION INC,Equity,3.5,325.98,"452,137.00","147,386,056.88",-,Health Care,B0C5YV1,KR7068270008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5490,POSCO,Equity,3.16,333.83,"399,353.00","133,314,349.89",-,Materials,6693233,KR7005490008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
105560,KB FINANCIAL GROUP INC,Equity,2.99,59.1,"2,132,289.00","126,019,481.02",-,Financials,B3DF0Y6,KR7105560007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5380,HYUNDAI MOTOR,Equity,2.91,149.14,"823,426.00","122,802,935.64",-,Consumer Discretionary,6451055,KR7005380001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
35420,NAVER CORP,Equity,2.64,741.53,"149,983.00","111,216,501.06",-,Information Technology,6560393,KR7035420009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
55550,SHINHAN FINANCIAL GROUP LTD,Equity,2.37,43.77,"2,283,115.00","99,935,036.48",-,Financials,6397502,KR7055550008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
51910,LG CHEM LTD,Equity,2.09,353.68,"249,451.00","88,225,813.09",-,Materials,6346913,KR7051910008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
12330,HYUNDAI MOBIS LTD,Equity,1.83,210.55,"366,496.00","77,164,177.67",-,Consumer Discretionary,6449544,KR7012330007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
86790,HANA FINANCIAL GROUP INC,Equity,1.74,45.39,"1,615,249.00","73,311,929.40",-,Financials,B0RNRF5,KR7086790003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
96770,SK INNOVATION LTD,Equity,1.6,189.77,"355,797.00","67,518,961.58",-,Energy,B232R05,KR7096770003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
34730,SK HOLDINGS LTD,Equity,1.57,262.72,"251,531.00","66,082,343.24",-,Information Technology,B39Z8L3,KR7034730002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
