Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.55,178.12,"3,980,446.00","708,997,041.52","708,997,041.52",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.73,93.77,"5,810,553.00","544,855,554.81","544,855,554.81",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.33,"1,512.45","307,803.00","465,536,647.35","465,536,647.35",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.62,178.32,"1,808,114.00","322,422,888.48","322,422,888.48",Information Technology,B7TL820,US30303M1027,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.55,115.5,"2,675,664.00","309,039,192.00","309,039,192.00",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.55,207.2,"1,490,318.00","308,793,889.60","308,793,889.60",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.36,129.88,"2,089,192.00","271,344,256.96","271,344,256.96",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.3,"1,104.73","234,232.00","258,763,117.36","258,763,117.36",Information Technology,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.28,"1,103.92","230,581.00","254,542,977.52","254,542,977.52",Information Technology,BYVY8G0,US02079K3059,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.25,75.74,"3,284,584.00","248,774,392.16","248,774,392.16",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.21,32.1,"7,511,724.00","241,126,340.40","241,126,340.40",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1,58.41,"3,428,793.00","200,275,799.13","200,275,799.13",Financials,2649100,US9497461015,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.9,49.29,"3,651,629.00","179,988,793.41","179,988,793.41",Information Technology,2463247,US4581401001,NASDAQ
V,VISA INC CLASS A,Equity,0.87,122.94,"1,409,407.00","173,272,496.58","173,272,496.58",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.87,36.3,"4,766,066.00","173,008,195.80","173,008,195.80",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.86,44.78,"3,839,674.00","171,940,601.72","171,940,601.72",Information Technology,2198163,US17275R1023,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.84,226.16,"742,647.00","167,957,045.52","167,957,045.52",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.83,182.27,"913,534.00","166,509,842.18","166,509,842.18",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.83,36.31,"4,582,487.00","166,390,102.97","166,390,102.97",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.82,111.92,"1,464,323.00","163,887,030.16","163,887,030.16",Energy,2838555,US1667641005,New York Stock Exchange Inc.
BA,BOEING,Equity,0.78,362.21,"431,353.00","156,240,370.13","156,240,370.13",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,0.78,78.52,"1,983,452.00","155,740,651.04","155,740,651.04",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.78,75.49,"2,049,351.00","154,705,506.99","154,705,506.99",Financials,2297907,US1729674242,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.76,47.74,"3,192,213.00","152,396,248.62","152,396,248.62",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.72,115.83,"1,233,711.00","142,900,745.13","142,900,745.13",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.65,36.21,"3,595,174.00","130,181,250.54","130,181,250.54",Consumer Discretionary,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.64,43.22,"2,976,518.00","128,645,107.96","128,645,107.96",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.64,175.76,"729,620.00","128,238,011.20","128,238,011.20",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,0.64,70.3,"1,807,523.00","127,068,866.90","127,068,866.90",Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.62,103.55,"1,202,241.00","124,492,055.55","124,492,055.55",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.62,103.16,"1,195,892.00","123,368,218.72","123,368,218.72",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.61,109.73,"1,106,589.00","121,426,010.97","121,426,010.97",Consumer Staples,2681511,US7134481081,NASDAQ
MRK,MERCK & CO INC,Equity,0.58,54.22,"2,120,992.00","115,000,186.24","115,000,186.24",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.57,50.67,"2,259,043.00","114,465,708.81","114,465,708.81",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
