Symbol,Name,Last Price,Change,%Chg,High,Low,Volume,Time,Links
PCLN,Priceline Group,"1,797.86",7.86,0.44%,"1,804.83","1,762.00","375,700",02/13/18,
AMZN,Amazon.Com Inc,"1,414.51",28.28,2.04%,"1,419.72","1,383.53","5,916,100",02/13/18,
GOOGL,Alphabet Class A,"1,054.14",-0.42,-0.04%,"1,061.22","1,046.92","1,579,200",02/13/18,
GOOG,Alphabet Class C,"1,052.10",0.16,0.02%,"1,058.37","1,044.09","1,264,900",02/13/18,
AZO,Autozone,711.88,-18.32,-2.51%,728.36,707.14,"372,800",02/13/18,
MTD,Mettler-Toledo International,613.69,-0.18,-0.03%,617.35,603,"139,000",02/13/18,
BLK,Blackrock,521.27,-4.11,-0.78%,526.52,518.77,"517,400",02/13/18,
EQIX,Equinix Inc,436.25,4.8,1.11%,437.83,426.01,"910,200",02/13/18,
SHW,Sherwin-Williams Company,405.76,2.07,0.51%,407.28,400.46,"437,500",02/13/18,
ISRG,Intuitive Surg Inc,402,3.49,0.88%,402.89,394,"478,600",02/13/18,
CHTR,Charter Communicatio,355.68,-2.2,-0.61%,357.49,353.41,"772,400",02/13/18,
LMT,Lockheed Martin Corp,350.23,4.42,1.28%,351.06,344.51,"1,279,200",02/13/18,
NOC,Northrop Grumman Corp,343.36,5.92,1.75%,344.38,335.12,"898,300",02/13/18,
BA,Boeing Company,343.16,-0.64,-0.19%,347.88,340.29,"4,029,800",02/13/18,
REGN,Regeneron Pharmaceutical,324.57,-18.1,-5.28%,340.84,322.69,"1,557,300",02/13/18,
BIIB,Biogen Inc,316.99,0.36,0.11%,319,312.35,"732,900",02/13/18,
TDG,Transdigm Group Inc,285.8,-0.4,-0.14%,287.43,281.46,"381,100",02/13/18,
GWW,W.W. Grainger,271.37,1.94,0.72%,272.58,265.95,"881,300",02/13/18,
ROP,Roper Industries,270.47,0.35,0.13%,270.97,266.12,"392,800",02/13/18,
HUM,Humana Inc,268.07,1.02,0.38%,269.28,261.25,"1,007,800",02/13/18,
NFLX,Netflix Inc,258.27,0.32,0.12%,261.41,254.7,"6,853,800",02/13/18,
GS,Goldman Sachs Group,255.53,2.37,0.94%,256.4,250.58,"2,700,400",02/13/18,
CMG,Chipotle Mexican Grill,251.33,-3.12,-1.23%,257.96,250.63,"1,506,200",02/13/18,
MHK,Mohawk Industries,251.28,-3.27,-1.28%,254.35,249.17,"965,200",02/13/18,
ADS,Alliance Data Systems Corp,246.26,-2.03,-0.82%,248.45,243.97,"472,200",02/13/18,
AVGO,Broadcom Ltd,245.86,1.46,0.60%,246.03,240.06,"2,371,600",02/13/18,
ORLY,O'Reilly Automotive,245.31,-2.94,-1.18%,248.87,243.08,"753,100",02/13/18,
FDX,Fedex Corp,240.32,0.39,0.16%,241.53,236.72,"1,537,600",02/13/18,
RE,Everest Re Group,238.18,-1.3,-0.54%,239.15,236.42,"388,600",02/13/18,
HII,Huntington Ingalls Industries,237.46,2.53,1.08%,238.28,232.45,"746,400",02/13/18,
ALGN,Align Technology I,233.73,0.6,0.26%,236.7,229.68,"727,300",02/13/18,
ANTM,Anthem Inc,233.45,0.68,0.29%,234.83,229.36,"1,397,800",02/13/18,
NVDA,Nvidia Corp,232.63,4.6,2.02%,234.5,225.25,"15,633,700",02/13/18,
MMM,3M Company,231.36,2.17,0.95%,231.97,228.93,"2,523,400",02/13/18,
ESS,Essex Property Trust,228.28,0.43,0.19%,229.55,223.45,"480,600",02/13/18,
UNH,Unitedhealth Group Inc,226.64,0.95,0.42%,227.12,222.38,"3,536,700",02/13/18,
COO,Cooper Companies,225.82,-0.94,-0.41%,227.02,224.57,"363,200",02/13/18,
ILMN,Illumina Inc,220.44,-0.59,-0.27%,221.1,217.8,"663,000",02/13/18,
MLM,Martin Marietta Materials,218.41,5.65,2.66%,229.66,215.67,"1,498,100",02/13/18,
BDX,Becton Dickinson and Company,215.4,-3.49,-1.59%,216.99,213.37,"1,830,000",02/13/18,
STZ,Constellation Brands Inc,213.47,0.46,0.22%,214.81,211.25,"1,411,600",02/13/18,
GD,General Dynamics Corp,211.81,2.28,1.09%,212.69,207.5,"2,556,500",02/13/18,
RTN,Raytheon Company,209.53,2.01,0.97%,210.29,205.76,"1,389,200",02/13/18,
ULTA,Ulta Salon Cosmetic,206.79,-2.69,-1.28%,211.25,206.26,"1,071,500",02/13/18,
LLL,L-3 Communications Holdings,206.61,2.17,1.06%,207.25,203.74,"867,900",02/13/18,
TMO,Thermo Fisher Scientific Inc,203.5,-1.01,-0.49%,204.47,200.86,"1,222,600",02/13/18,
WAT,Waters Corp,200.2,1.75,0.88%,201.15,196.35,"368,800",02/13/18,
BRK.B,Berkshire Hath Hld B,197.99,-0.9,-0.45%,198.84,195.92,"3,967,200",02/13/18,
CI,Cigna Corp,195.44,1.88,0.97%,195.58,191.07,"842,100",02/13/18,
ADBE,Adobe Systems Inc,193.48,1.33,0.69%,194.31,190.39,"1,961,200",02/13/18,
PSA,Public Storage,189.2,1.38,0.73%,190.28,187.5,"1,054,500",02/13/18,
MTB,M&T Bank Corp,186.15,1.4,0.76%,187.29,183.2,"711,100",02/13/18,
ROK,Rockwell Automation Inc,184.44,-1.86,-1.00%,185.42,182.03,"1,131,600",02/13/18,
COST,Costco Wholesale,184.15,3.09,1.71%,184.6,180.05,"2,123,700",02/13/18,
