,Adj Close,Close,High,Low,Name,Open,Volume
2017-02-15,3.22,3.22,3.3,3.15,III,3.21,33600.0
2017-02-16,3.09,3.09,3.23,3.06,III,3.2,75600.0
2017-02-17,3.09,3.09,3.14,3.05,III,3.12,119600.0
2017-02-21,3.18,3.18,3.19,3.09,III,3.12,42900.0
2017-02-22,3.21,3.21,3.24,3.13,III,3.17,36900.0
2017-02-23,3.26,3.26,3.27,3.15,III,3.17,39900.0
2017-02-24,3.26,3.26,3.27,3.17,III,3.25,80300.0
2017-02-27,3.24,3.24,3.27,3.2,III,3.25,42600.0
2017-02-28,3.17,3.17,3.25,3.15,III,3.21,160900.0
2017-03-01,3.24,3.24,3.25,3.16,III,3.21,86400.0
2017-03-02,3.23,3.23,3.26,3.18,III,3.23,64300.0
2017-03-03,3.17,3.17,3.25,3.14,III,3.22,41100.0
2017-03-06,3.18,3.18,3.2,3.14,III,3.14,125100.0
2017-03-07,3.18,3.18,3.19,3.11,III,3.17,155900.0
2017-03-08,3.25,3.25,3.32,3.16,III,3.2,81300.0
2017-03-09,3.18,3.18,3.23,3.11,III,3.18,72100.0
2017-03-10,3.13,3.13,3.2,3.1,III,3.17,100700.0
2017-03-13,3.1,3.1,3.17,3.09,III,3.12,99700.0
2017-03-14,3.16,3.16,3.22,3.08,III,3.1,79700.0
2017-03-15,3.15,3.15,3.17,3.12,III,3.17,60500.0
2017-03-16,3.21,3.21,3.25,3.15,III,3.17,151900.0
2017-03-17,3.24,3.24,3.3,3.18,III,3.18,164800.0
2017-03-20,3.18,3.18,3.31,3.13,III,3.23,116700.0
2017-03-21,3.06,3.06,3.39,3.06,III,3.16,115900.0
2017-03-22,2.95,2.95,3.14,2.95,III,3.06,189000.0
2017-03-23,3.09,3.09,3.16,2.96,III,2.96,598800.0
2017-03-24,3.09,3.09,3.11,3.0,III,3.11,244000.0
2017-03-27,3.01,3.01,3.08,3.0,III,3.08,153800.0
2017-03-28,3.13,3.13,3.14,2.98,III,3.0,294100.0
2017-03-29,3.13,3.13,3.16,3.08,III,3.15,136700.0
2017-03-30,3.11,3.11,3.15,3.05,III,3.14,125200.0
2017-03-31,3.15,3.15,3.19,3.07,III,3.11,154800.0
2017-04-03,3.06,3.06,3.15,3.05,III,3.15,104000.0
2017-04-04,3.08,3.08,3.1,3.02,III,3.05,151200.0
2017-04-05,3.03,3.03,3.14,2.99,III,3.07,140100.0
2017-04-06,3.05,3.05,3.07,2.99,III,2.99,270400.0
2017-04-07,3.12,3.12,3.13,3.0,III,3.02,95500.0
2017-04-10,3.05,3.05,3.2,3.01,III,3.07,188700.0
2017-04-11,3.11,3.11,3.15,3.05,III,3.05,72800.0
2017-04-12,3.1,3.1,3.12,3.05,III,3.09,91200.0
2017-04-13,3.05,3.05,3.1,3.03,III,3.08,106700.0
2017-04-17,3.1,3.1,3.11,3.03,III,3.03,66500.0
2017-04-18,3.14,3.14,3.14,3.03,III,3.07,42000.0
2017-04-19,3.17,3.17,3.19,3.11,III,3.11,230800.0
2017-04-20,3.12,3.12,3.19,3.08,III,3.16,147100.0
2017-04-21,3.11,3.11,3.16,3.06,III,3.12,227200.0
2017-04-24,3.21,3.21,3.24,3.14,III,3.17,88900.0
2017-04-25,3.19,3.19,3.25,3.16,III,3.23,166600.0
2017-04-26,3.21,3.21,3.24,3.17,III,3.17,73400.0
2017-04-27,3.25,3.25,3.36,3.18,III,3.18,79400.0
2017-04-28,3.15,3.15,3.25,3.14,III,3.25,97700.0
2017-05-01,3.21,3.21,3.22,3.13,III,3.13,133500.0
2017-05-02,3.17,3.17,3.26,3.17,III,3.21,102300.0
2017-05-03,3.17,3.17,3.19,3.11,III,3.17,73200.0
2017-05-04,3.22,3.22,3.24,3.15,III,3.19,83800.0
2017-05-05,3.28,3.28,3.29,3.18,III,3.22,59400.0
2017-05-08,3.3,3.3,3.31,3.23,III,3.24,74200.0
2017-05-09,3.52,3.52,3.64,3.39,III,3.39,168400.0
2017-05-10,3.53,3.53,3.58,3.47,III,3.51,81300.0
2017-05-11,3.67,3.67,3.7,3.5,III,3.51,141200.0
2017-05-12,3.7,3.7,3.75,3.47,III,3.47,215700.0
2017-05-15,3.83,3.83,3.96,3.76,III,3.76,213200.0
2017-05-16,3.78,3.78,3.9,3.77,III,3.89,92500.0
2017-05-17,3.64,3.64,3.8,3.61,III,3.74,96700.0
2017-05-18,3.63,3.63,3.76,3.56,III,3.72,81800.0
2017-05-19,3.61,3.61,3.65,3.43,III,3.6,130600.0
2017-05-22,3.61,3.61,3.69,3.56,III,3.56,61100.0
2017-05-23,3.69,3.69,3.77,3.61,III,3.61,80200.0
2017-05-24,3.74,3.74,3.75,3.66,III,3.66,92900.0
2017-05-25,3.61,3.61,3.72,3.56,III,3.72,60000.0
2017-05-26,3.63,3.63,3.67,3.57,III,3.6,101800.0
2017-05-30,3.6,3.6,3.65,3.51,III,3.62,123600.0
2017-05-31,3.65,3.65,3.69,3.57,III,3.63,34200.0
2017-06-01,3.89,3.89,3.94,3.67,III,3.67,76900.0
2017-06-02,4.1,4.1,4.17,3.89,III,3.89,137400.0
2017-06-05,4.02,4.02,4.15,3.89,III,4.07,116800.0
2017-06-06,4.01,4.01,4.05,3.92,III,3.95,72700.0
2017-06-07,3.98,3.98,4.16,3.92,III,4.01,53900.0
2017-06-08,4.06,4.06,4.14,3.96,III,3.97,85400.0
2017-06-09,4.05,4.05,4.16,3.99,III,4.06,112000.0
2017-06-12,4.1,4.1,4.2,4.05,III,4.05,90500.0
2017-06-13,4.12,4.12,4.19,4.1,III,4.13,58200.0
2017-06-14,4.07,4.07,4.17,4.04,III,4.13,64800.0
2017-06-15,4.1,4.1,4.21,3.99,III,4.05,82700.0
2017-06-16,3.9,3.9,4.09,3.89,III,4.03,253400.0
2017-06-19,3.99,3.99,4.03,3.9,III,3.9,91800.0
2017-06-20,3.97,3.97,4.04,3.93,III,3.97,76200.0
2017-06-21,3.94,3.94,4.01,3.92,III,3.98,86300.0
2017-06-22,4.04,4.04,4.09,3.91,III,3.91,48300.0
2017-06-23,4.13,4.13,4.15,3.95,III,4.05,522200.0
2017-06-26,4.14,4.14,4.24,4.06,III,4.1,77800.0
2017-06-27,4.15,4.15,4.2,4.09,III,4.15,85300.0
2017-06-28,4.24,4.24,4.29,4.16,III,4.19,78100.0
2017-06-29,4.16,4.16,4.3,4.13,III,4.24,45700.0
2017-06-30,4.11,4.11,4.18,4.08,III,4.18,28500.0
2017-07-03,4.07,4.07,4.18,4.04,III,4.16,8000.0
2017-07-05,4.06,4.06,4.11,3.9,III,3.94,48500.0
2017-07-06,4.06,4.06,4.11,3.99,III,4.02,37700.0
2017-07-07,4.1,4.1,4.1,4.05,III,4.05,27800.0
2017-07-10,4.03,4.03,4.13,4.03,III,4.09,19500.0
2017-07-11,4.03,4.03,4.11,4.02,III,4.06,27400.0
2017-07-12,4.15,4.15,4.17,4.02,III,4.02,20900.0
2017-07-13,4.09,4.09,4.17,4.02,III,4.14,21100.0
2017-07-14,4.15,4.15,4.2,4.05,III,4.08,35200.0
2017-07-17,4.18,4.18,4.2,4.15,III,4.17,23300.0
2017-07-18,4.15,4.15,4.24,4.11,III,4.18,15300.0
2017-07-19,4.13,4.13,4.2,4.13,III,4.14,9900.0
2017-07-20,4.05,4.05,4.12,4.02,III,4.12,75100.0
2017-07-21,4.03,4.03,4.08,3.99,III,4.08,84900.0
2017-07-24,4.02,4.02,4.06,3.96,III,4.02,25100.0
2017-07-25,4.09,4.09,4.28,4.0,III,4.03,27900.0
2017-07-26,4.16,4.16,4.21,4.07,III,4.09,46000.0
2017-07-27,4.05,4.05,4.17,4.03,III,4.17,32400.0
2017-07-28,4.07,4.07,4.1,4.02,III,4.03,29700.0
2017-07-31,4.03,4.03,4.17,4.02,III,4.1,19400.0
2017-08-01,4.04,4.04,4.08,4.0,III,4.08,38300.0
2017-08-02,3.97,3.97,4.07,3.94,III,4.05,40600.0
2017-08-03,3.97,3.97,3.99,3.91,III,3.94,24800.0
2017-08-04,4.2,4.2,4.2,4.0,III,4.0,40800.0
2017-08-07,3.62,3.62,4.28,3.52,III,4.28,426400.0
2017-08-08,3.62,3.62,3.66,3.58,III,3.58,72300.0
2017-08-09,3.61,3.61,3.64,3.57,III,3.6,53700.0
2017-08-10,3.56,3.56,3.63,3.53,III,3.61,141900.0
2017-08-11,3.55,3.55,3.65,3.52,III,3.58,108000.0
2017-08-14,3.71,3.71,3.73,3.53,III,3.57,38000.0
2017-08-15,3.7,3.7,3.84,3.7,III,3.77,38900.0
2017-08-16,3.73,3.73,3.82,3.69,III,3.7,50000.0
2017-08-17,3.64,3.64,3.74,3.6,III,3.7,70100.0
2017-08-18,3.65,3.65,3.68,3.61,III,3.61,46900.0
2017-08-21,3.64,3.64,3.66,3.6,III,3.65,100500.0
2017-08-22,3.74,3.74,3.75,3.68,III,3.68,39400.0
2017-08-23,3.7,3.7,3.74,3.67,III,3.7,39600.0
2017-08-24,3.73,3.73,3.8,3.69,III,3.74,33000.0
2017-08-25,3.78,3.78,3.8,3.76,III,3.77,14000.0
2017-08-28,3.75,3.75,3.78,3.74,III,3.78,14700.0
2017-08-29,3.76,3.76,3.82,3.75,III,3.75,24100.0
2017-08-30,3.75,3.75,3.77,3.74,III,3.76,13600.0
2017-08-31,3.75,3.75,3.83,3.72,III,3.79,74300.0
2017-09-01,3.77,3.77,3.85,3.72,III,3.75,44400.0
2017-09-05,3.76,3.76,3.84,3.76,III,3.77,19600.0
2017-09-06,3.75,3.75,3.81,3.75,III,3.77,30800.0
2017-09-07,3.7,3.7,3.79,3.67,III,3.75,53500.0
2017-09-08,3.7,3.7,3.72,3.65,III,3.7,99100.0
2017-09-11,3.68,3.68,3.78,3.65,III,3.71,98600.0
2017-09-12,3.69,3.69,3.76,3.69,III,3.69,29800.0
2017-09-13,3.69,3.69,3.72,3.67,III,3.67,42300.0
2017-09-14,3.59,3.59,3.67,3.59,III,3.67,73400.0
2017-09-15,3.59,3.59,3.65,3.57,III,3.6,248300.0
2017-09-18,3.67,3.67,3.69,3.58,III,3.6,15800.0
2017-09-19,3.68,3.68,3.72,3.65,III,3.66,29300.0
2017-09-20,3.69,3.69,3.71,3.65,III,3.65,17000.0
2017-09-21,3.72,3.72,3.74,3.67,III,3.68,37800.0
2017-09-22,3.75,3.75,3.78,3.72,III,3.74,23300.0
2017-09-25,3.7,3.7,3.77,3.68,III,3.74,28100.0
2017-09-26,3.73,3.73,3.76,3.7,III,3.7,31900.0
2017-09-27,3.89,3.89,3.9,3.73,III,3.73,49300.0
2017-09-28,4.05,4.05,4.05,3.86,III,3.9,54400.0
2017-09-29,4.02,4.02,4.07,3.99,III,3.99,61000.0
2017-10-02,4.05,4.05,4.07,3.97,III,4.05,44800.0
2017-10-03,4.18,4.18,4.2,4.02,III,4.03,71200.0
2017-10-04,4.15,4.15,4.2,4.1,III,4.19,20600.0
2017-10-05,4.19,4.19,4.2,4.13,III,4.17,27400.0
2017-10-06,4.19,4.19,4.2,3.86,III,4.18,51400.0
2017-10-09,4.13,4.13,4.23,4.07,III,4.18,33900.0
2017-10-10,4.15,4.15,4.16,4.08,III,4.16,20300.0
2017-10-11,4.14,4.14,4.2,4.12,III,4.16,34800.0
2017-10-12,4.09,4.09,4.19,4.05,III,4.17,87500.0
2017-10-13,4.14,4.14,4.21,4.0,III,4.1,46700.0
2017-10-16,4.14,4.14,4.19,4.06,III,4.12,21600.0
2017-10-17,4.17,4.17,4.23,4.16,III,4.17,37300.0
2017-10-18,4.18,4.18,4.26,4.16,III,4.2,53100.0
2017-10-19,4.1,4.1,4.19,4.06,III,4.17,42100.0
2017-10-20,4.1,4.1,4.16,4.08,III,4.14,16700.0
2017-10-23,4.02,4.02,4.19,4.02,III,4.11,7100.0
2017-10-24,4.05,4.05,4.14,4.01,III,4.03,13500.0
2017-10-25,4.08,4.08,4.09,4.0,III,4.01,15300.0
2017-10-26,3.98,3.98,4.13,3.98,III,4.12,14400.0
2017-10-27,4.0,4.0,4.11,3.85,III,3.98,55900.0
2017-10-30,3.93,3.93,4.0,3.92,III,4.0,21200.0
2017-10-31,4.08,4.08,4.1,3.93,III,3.94,36200.0
2017-11-01,4.05,4.05,4.14,3.99,III,4.14,11800.0
2017-11-02,4.03,4.03,4.16,3.98,III,4.14,57800.0
2017-11-03,4.07,4.07,4.1,3.98,III,4.01,34300.0
2017-11-06,4.04,4.04,4.12,4.0,III,4.08,13200.0
2017-11-07,3.87,3.87,4.08,3.86,III,4.08,45100.0
2017-11-08,3.88,3.88,3.92,3.83,III,3.9,20100.0
2017-11-09,4.01,4.01,4.07,3.9,III,3.94,26400.0
2017-11-10,3.98,3.98,4.07,3.97,III,4.0,16600.0
2017-11-13,3.92,3.92,3.99,3.89,III,3.99,31300.0
2017-11-14,3.94,3.94,3.98,3.83,III,3.89,27700.0
2017-11-15,3.93,3.93,3.99,3.87,III,3.9,30300.0
2017-11-16,3.99,3.99,4.11,3.92,III,3.96,37700.0
2017-11-17,4.0,4.0,4.04,3.94,III,3.95,40000.0
2017-11-20,4.07,4.07,4.1,4.01,III,4.02,40300.0
2017-11-21,4.14,4.14,4.15,4.07,III,4.1,28200.0
2017-11-22,4.05,4.05,4.15,4.05,III,4.15,39700.0
2017-11-24,4.06,4.06,4.1,4.04,III,4.05,7900.0
2017-11-27,4.15,4.15,4.17,4.05,III,4.07,35300.0
2017-11-28,4.46,4.46,4.5,4.07,III,4.16,119800.0
2017-11-29,4.5,4.5,4.58,4.37,III,4.49,84700.0
2017-11-30,4.52,4.52,4.63,4.3,III,4.5,91700.0
2017-12-01,4.54,4.54,4.6,4.3,III,4.55,34400.0
2017-12-04,4.37,4.37,4.56,4.33,III,4.56,27900.0
2017-12-05,4.25,4.25,4.4,4.22,III,4.38,35000.0
2017-12-06,4.3,4.3,4.36,4.18,III,4.25,33600.0
2017-12-07,4.1,4.1,4.4,4.03,III,4.25,124900.0
2017-12-08,4.11,4.11,4.17,4.1,III,4.13,15000.0
2017-12-11,4.31,4.31,4.37,4.1,III,4.13,83800.0
2017-12-12,4.26,4.26,4.39,4.25,III,4.32,22200.0
2017-12-13,4.32,4.32,4.34,4.26,III,4.26,18800.0
2017-12-14,4.28,4.28,4.48,4.25,III,4.32,37000.0
2017-12-15,4.48,4.48,4.49,4.26,III,4.26,128100.0
2017-12-18,4.33,4.33,4.5,4.3,III,4.5,43200.0
2017-12-19,4.29,4.29,4.38,4.26,III,4.3,33300.0
2017-12-20,4.32,4.32,4.35,4.27,III,4.31,26600.0
2017-12-21,4.35,4.35,4.4,4.3,III,4.31,31000.0
2017-12-22,4.25,4.25,4.35,4.22,III,4.35,23900.0
2017-12-26,4.18,4.18,4.27,4.08,III,4.23,32300.0
2017-12-27,4.22,4.22,4.25,4.17,III,4.22,21400.0
2017-12-28,4.21,4.21,4.23,4.19,III,4.22,9900.0
2017-12-29,4.17,4.17,4.25,4.11,III,4.22,39500.0
2018-01-02,4.1,4.1,4.22,4.1,III,4.17,29200.0
2018-01-03,4.11,4.11,4.13,4.08,III,4.09,15400.0
2018-01-04,4.19,4.19,4.2,4.12,III,4.15,22400.0
2018-01-05,4.18,4.18,4.22,4.14,III,4.19,107900.0
2018-01-08,4.11,4.11,4.15,4.06,III,4.15,32600.0
2018-01-09,4.1,4.1,4.19,4.04,III,4.11,34100.0
2018-01-10,4.13,4.13,4.13,4.05,III,4.08,30700.0
2018-01-11,4.14,4.14,4.15,4.1,III,4.12,6500.0
2018-01-12,4.16,4.16,4.18,4.11,III,4.14,13400.0
2018-01-16,4.13,4.13,4.27,4.13,III,4.16,29500.0
2018-01-17,4.19,4.19,4.21,4.08,III,4.14,29900.0
2018-01-18,4.1,4.1,4.2,4.08,III,4.14,25800.0
2018-01-19,4.19,4.19,4.2,4.08,III,4.08,82100.0
2018-01-22,4.2,4.2,4.23,4.15,III,4.19,16600.0
2018-01-23,4.17,4.17,4.21,4.13,III,4.17,2700.0
2018-01-24,4.21,4.21,4.25,4.14,III,4.19,12600.0
2018-01-25,4.25,4.25,4.26,4.19,III,4.25,16200.0
2018-01-26,4.34,4.34,4.44,4.19,III,4.24,38500.0
2018-01-29,4.28,4.28,4.33,4.22,III,4.33,19000.0
2018-01-30,4.29,4.29,4.36,4.27,III,4.28,6300.0
2018-01-31,4.26,4.26,4.34,4.22,III,4.31,57800.0
2018-02-01,4.26,4.26,4.33,4.25,III,4.26,13300.0
2018-02-02,4.21,4.21,4.27,4.2,III,4.22,24000.0
2018-02-05,4.13,4.13,4.22,4.11,III,4.15,45600.0
2018-02-06,4.12,4.12,4.28,3.95,III,4.05,98000.0
2018-02-07,4.17,4.17,4.19,4.1,III,4.1,24200.0
2018-02-08,4.08,4.08,4.18,4.08,III,4.18,49300.0
2018-02-09,4.13,4.13,4.18,3.89,III,4.11,33300.0
2018-02-12,4.19,4.19,4.2,4.09,III,4.09,25000.0
